Mwanza Urban Water and Sewerage Authority (MWAUWASA);;x;;;;;;;;;;;;x;;;Tanzania;x;;;;;;;;;;;Tanzania;http://www.mwauwasa.or.tz/;TZ;;;;;
Natural Environment Research Council - UK (NERC);x;;;;;;;x;;;;;x;x;;;UK;;;x;;;;;;;;;;http://www.nerc.ac.uk/index.asp;GB;;;;;
National Directorate of Water, Ministry of Public Works and Housing (MOPH) -  National Directorate of Water (DNA);;x;;;;;;;;;;;;x;;;Mozambique;x;;;;;;;;;;;Mozambique;http://www.amcow-online.org/index.php?option=com_content&view=article&id=227&Itemid=57&lang=en;MZ;;;;;
National Sanitation Foundation (NSF);x;;;;;;;x;;x;;;;x;;;US;;;;;x;;;;;;;US;http://www.nsf.org/;US;;;;;
National Water and Sewerage Corporation (NWSC);;x;;;;;;;;;;;;x;;;Uganda;x;;;;;;;;;;;Uganda;http://www.nwsc.co.ug/;UG;;;;;
National Water Supply and Sanitation Council (NWASCO), The;;x;;;;;;;;;;;;x;;;Zambia;x;;;;;;;;;;;Zambia;http://www.nwasco.org.zm/index.php;ZM;;;;;
Netherlands Water Partnership;x;;;;;;;;;;;x;;x;;;Netherlands;;;x;;;;;;;;;;http://www.nwp.nl/;NL;;;;;
Netwas International;x;;;;;;;x;;x;;;;x;;;;x;;;;;;;;;;;Kenya;http://www.netwas.org/#;;;;;;
New Partnership for Africa's Development (NEPAD);x;;;;;;;x;;;;x;;x;x;;south Africa;x;;;;;;;;;;;;http://www.nepad.org/;ZA;;;;;
NGO Forum for Urban Water & Sanitation;x;;;;;;;;;;;x;x;x;;;Nepal;;;;;;;;;;;x;;http://www.ngoforum.net/index.php?option=com_frontpage&Itemid=1;NP;;;;;
Nile Basin Initiative (NBI);x;;;;;;;;;;;;;x;;;Uganda;x;;;;;;;;;;;Nile Basin countries: Burundi, Democratic Republic of Congo, Egypt, Ethiopia, Kenya, Rwanda, Sudan, Tanzania and Uganda. Eritrea as observer.;http://www.nilebasin.org/newsite/index.php?option=com_content&view=frontpage&Itemid=1&lang=en;UG;;;;;
Nova Institute;x;;;;;;;;;;;;;;;x;South Africa;x;;;;;;;;;;;;http://www.nova.org.za/index.php;ZA;;;;;
Oasis Aquatic Gardens;;;;;;x;;;;;;;;x;;;USA;;;;;;;;;;;;;http://www.oasisaquaticgardens-ky.net/index.html;US;;;;;
